trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
83,0,83,0,134.60291770000185,,134.5905417000031,134.60291770000185,135.60318310000002,135.60318310000002,136.05544280000322,0,up,1,0.44851119999657385,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
84,0,84,0,136.0694516000076,,136.05828350000957,136.0694516000076,137.0694927000004,137.0694927000004,137.5713523000013,2,down,1,0.49667950000730343,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
85,0,85,0,137.58614130000933,,137.5735291000019,137.58614130000933,138.58607850001135,138.58607850001135,139.4208221000008,-2,up,0,0.826357600002666,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
86,0,86,0,139.43537140000262,,139.42358870001044,139.43537140000262,140.43592680001166,140.43592680001166,140.90306540000893,0,up,1,0.46492480000597425,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
87,0,87,0,140.91834709999966,,140.90408770000795,140.91834709999966,141.91819790001318,141.91819790001318,142.48606390001078,0,up,1,0.5630522000137717,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
88,0,88,0,142.5013622000115,,142.48771169999964,142.5013622000115,143.5017072000046,143.5017072000046,144.35403520001273,4,down,1,0.8481354999967152,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
89,0,89,0,144.3678110000037,,144.35723770000914,144.3678110000037,145.36804070000653,145.36804070000653,145.96891230001347,-4,down,1,0.5870615000021644,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
90,0,90,0,145.98434650000127,,145.96984230000817,145.98434650000127,146.98437030000787,146.98437030000787,147.41943710000487,0,down,0,0.4292544000054477,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
91,0,91,0,147.43385140001192,,147.4230685000075,147.43385140001192,148.4337394000031,148.4337394000031,149.08576080000785,-5,down,1,0.6460597999976017,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
92,0,92,0,149.10027140000602,,149.08845680000377,149.10027140000602,150.09995470001013,150.09995470001013,150.46987490000902,2,up,0,0.3609351999912178,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
93,0,93,0,150.48324040000443,,150.47402530000545,150.48324040000443,151.4829308000044,151.4829308000044,152.58525160000136,4,down,1,1.0990687000012258,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
94,0,94,0,152.59975730000588,,152.587766800003,152.59975730000588,153.5995139000006,153.5995139000006,154.03437850000046,2,up,0,0.4178847000002861,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
95,0,95,0,154.0488539000071,,154.0371054000134,154.0488539000071,155.04861060000258,155.04861060000258,155.65121010001167,0,up,1,0.5998378999938723,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
96,0,96,0,155.66531350000878,,155.65377740000258,155.66531350000878,156.66558060000534,156.66558060000534,157.1340823000064,0,up,1,0.4592613999993773,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
97,0,97,0,157.1482052000065,,157.1362497000082,157.1482052000065,158.1480392000085,158.1480392000085,158.53421040000103,0,up,0,0.3702227000030689,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
98,0,98,0,158.54802690001088,,158.53663250000682,158.54802690001088,159.54837030000635,159.54837030000635,160.01646310000797,0,up,1,0.4524015000060899,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
99,0,99,0,160.0312144000054,,160.01914040000702,160.0312144000054,161.03072090000205,161.03072090000205,161.44836840000062,-5,up,0,0.4061164999875473,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
